"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","Update exercise","LMS service","Sat Mar 28 15:52:50 UTC 2026","passed","Sat Mar 28 15:52:50 UTC 2026","Update entity","Exercises","",""
"","26","Get exercise","LMS service","Sat Mar 28 15:52:51 UTC 2026","passed","Sat Mar 28 15:52:51 UTC 2026","Get entity","Exercises","",""
"","303","Update course","LMS service","Sat Mar 28 15:52:48 UTC 2026","passed","Sat Mar 28 15:52:48 UTC 2026","Update entity","Courses","",""
"
Проверяет успешность авторизации пользователя через /api/v1/authentication/login.
","282","Login with correct email and password","LMS service","Sat Mar 28 15:52:47 UTC 2026","passed","Sat Mar 28 15:52:47 UTC 2026","Login","Authentication","",""
"","563","Create user","LMS service","Sat Mar 28 15:52:56 UTC 2026","passed","Sat Mar 28 15:52:56 UTC 2026","Create entity","Users","",""
"","259","Get file with incorrect file id","LMS service","Sat Mar 28 15:52:55 UTC 2026","passed","Sat Mar 28 15:52:56 UTC 2026","Validate entity","Files","",""
"","267","Create file","LMS service","Sat Mar 28 15:52:52 UTC 2026","passed","Sat Mar 28 15:52:53 UTC 2026","Create entity","Files","",""
"","17","Get exercises","LMS service","Sat Mar 28 15:52:52 UTC 2026","passed","Sat Mar 28 15:52:52 UTC 2026","Get entities","Exercises","",""
"","14","Get user me","LMS service","Sat Mar 28 15:52:57 UTC 2026","passed","Sat Mar 28 15:52:57 UTC 2026","Get entity","Users","",""
"","542","Create user","LMS service","Sat Mar 28 15:52:55 UTC 2026","passed","Sat Mar 28 15:52:56 UTC 2026","Create entity","Users","",""
"","26","Create exercise","LMS service","Sat Mar 28 15:52:49 UTC 2026","passed","Sat Mar 28 15:52:49 UTC 2026","Create entity","Exercises","",""
"","13","Get file","LMS service","Sat Mar 28 15:52:53 UTC 2026","passed","Sat Mar 28 15:52:53 UTC 2026","Get entity","Files","",""
"","29","Create course","LMS service","Sat Mar 28 15:52:49 UTC 2026","passed","Sat Mar 28 15:52:49 UTC 2026","Create entity","Courses","",""
"","289","Delete exercise","LMS service","Sat Mar 28 15:52:51 UTC 2026","passed","Sat Mar 28 15:52:52 UTC 2026","Delete entity","Exercises","",""
"","272","Create file with empty directory","LMS service","Sat Mar 28 15:52:54 UTC 2026","passed","Sat Mar 28 15:52:54 UTC 2026","Validate entity","Files","",""
"","288","Get courses","LMS service","Sat Mar 28 15:52:48 UTC 2026","passed","Sat Mar 28 15:52:48 UTC 2026","Get entities","Courses","",""
"","561","Create user","LMS service","Sat Mar 28 15:52:56 UTC 2026","passed","Sat Mar 28 15:52:56 UTC 2026","Create entity","Users","",""
"","23","Delete file","LMS service","Sat Mar 28 15:52:55 UTC 2026","passed","Sat Mar 28 15:52:55 UTC 2026","Delete entity","Files","",""
"","339","Create file with empty filename","LMS service","Sat Mar 28 15:52:53 UTC 2026","passed","Sat Mar 28 15:52:54 UTC 2026","Validate entity","Files","",""
