"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Create course","LMS service","Sun Mar 29 11:28:08 UTC 2026","passed","Sun Mar 29 11:28:08 UTC 2026","Create entity","Courses","",""
"
        Проверяет успешность авторизации пользователя через /api/v1/authentication/login.
        ","544","Login with correct email and password","LMS service","Sun Mar 29 11:28:06 UTC 2026","passed","Sun Mar 29 11:28:06 UTC 2026","Login","Authentication","",""
"","23","Delete file","LMS service","Sun Mar 29 11:28:14 UTC 2026","passed","Sun Mar 29 11:28:14 UTC 2026","Delete entity","Files","",""
"","15","Get file","LMS service","Sun Mar 29 11:28:12 UTC 2026","passed","Sun Mar 29 11:28:12 UTC 2026","Get entity","Files","",""
"","24","Create exercise","LMS service","Sun Mar 29 11:28:08 UTC 2026","passed","Sun Mar 29 11:28:08 UTC 2026","Create entity","Exercises","",""
"","16","Get courses","LMS service","Sun Mar 29 11:28:07 UTC 2026","passed","Sun Mar 29 11:28:07 UTC 2026","Get entities","Courses","",""
"","12","Get user me","LMS service","Sun Mar 29 11:28:15 UTC 2026","passed","Sun Mar 29 11:28:15 UTC 2026","Get entity","Users","",""
"","555","Create user","LMS service","Sun Mar 29 11:28:14 UTC 2026","passed","Sun Mar 29 11:28:15 UTC 2026","Create entity","Users","",""
"","269","Create file","LMS service","Sun Mar 29 11:28:11 UTC 2026","passed","Sun Mar 29 11:28:11 UTC 2026","Create entity","Files","",""
"","263","Create file with empty directory","LMS service","Sun Mar 29 11:28:13 UTC 2026","passed","Sun Mar 29 11:28:13 UTC 2026","Validate entity","Files","",""
"","290","Update exercise","LMS service","Sun Mar 29 11:28:09 UTC 2026","passed","Sun Mar 29 11:28:09 UTC 2026","Update entity","Exercises","",""
"","291","Create user","LMS service","Sun Mar 29 11:28:14 UTC 2026","passed","Sun Mar 29 11:28:15 UTC 2026","Create entity","Users","",""
"","262","Create file with empty filename","LMS service","Sun Mar 29 11:28:12 UTC 2026","passed","Sun Mar 29 11:28:12 UTC 2026","Validate entity","Files","",""
"","308","Update course","LMS service","Sun Mar 29 11:28:06 UTC 2026","passed","Sun Mar 29 11:28:06 UTC 2026","Update entity","Courses","",""
"","18","Get exercise","LMS service","Sun Mar 29 11:28:09 UTC 2026","passed","Sun Mar 29 11:28:09 UTC 2026","Get entity","Exercises","",""
"","290","Delete exercise","LMS service","Sun Mar 29 11:28:10 UTC 2026","passed","Sun Mar 29 11:28:10 UTC 2026","Delete entity","Exercises","",""
"","530","Create user","LMS service","Sun Mar 29 11:28:14 UTC 2026","passed","Sun Mar 29 11:28:14 UTC 2026","Create entity","Users","",""
"","18","Get exercises","LMS service","Sun Mar 29 11:28:11 UTC 2026","passed","Sun Mar 29 11:28:11 UTC 2026","Get entities","Exercises","",""
"","268","Get file with incorrect file id","LMS service","Sun Mar 29 11:28:14 UTC 2026","passed","Sun Mar 29 11:28:14 UTC 2026","Validate entity","Files","",""
