"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Create course","LMS service","Sat Mar 28 15:49:19 UTC 2026","passed","Sat Mar 28 15:49:19 UTC 2026","Create entity","Courses","",""
"","541","Create user","LMS service","Sat Mar 28 15:49:25 UTC 2026","passed","Sat Mar 28 15:49:26 UTC 2026","Create entity","Users","",""
"","17","Get exercises","LMS service","Sat Mar 28 15:49:22 UTC 2026","passed","Sat Mar 28 15:49:22 UTC 2026","Get entities","Exercises","",""
"","286","Get courses","LMS service","Sat Mar 28 15:49:19 UTC 2026","passed","Sat Mar 28 15:49:19 UTC 2026","Get entities","Courses","",""
"","268","Create file with empty filename","LMS service","Sat Mar 28 15:49:24 UTC 2026","passed","Sat Mar 28 15:49:24 UTC 2026","Validate entity","Files","",""
"","559","Create user","LMS service","Sat Mar 28 15:49:26 UTC 2026","passed","Sat Mar 28 15:49:27 UTC 2026","Create entity","Users","",""
"","303","Update course","LMS service","Sat Mar 28 15:49:18 UTC 2026","passed","Sat Mar 28 15:49:18 UTC 2026","Update entity","Courses","",""
"","261","Get file with incorrect file id","LMS service","Sat Mar 28 15:49:26 UTC 2026","passed","Sat Mar 28 15:49:26 UTC 2026","Validate entity","Files","",""
"
Проверяет успешность авторизации пользователя через /api/v1/authentication/login.
","283","Login with correct email and password","LMS service","Sat Mar 28 15:49:17 UTC 2026","passed","Sat Mar 28 15:49:18 UTC 2026","Login","Authentication","",""
"","19","Delete file","LMS service","Sat Mar 28 15:49:25 UTC 2026","passed","Sat Mar 28 15:49:25 UTC 2026","Delete entity","Files","",""
"","22","Get exercise","LMS service","Sat Mar 28 15:49:21 UTC 2026","passed","Sat Mar 28 15:49:21 UTC 2026","Get entity","Exercises","",""
"","562","Create user","LMS service","Sat Mar 28 15:49:26 UTC 2026","passed","Sat Mar 28 15:49:27 UTC 2026","Create entity","Users","",""
"","267","Create file with empty directory","LMS service","Sat Mar 28 15:49:25 UTC 2026","passed","Sat Mar 28 15:49:25 UTC 2026","Validate entity","Files","",""
"","23","Create exercise","LMS service","Sat Mar 28 15:49:20 UTC 2026","passed","Sat Mar 28 15:49:20 UTC 2026","Create entity","Exercises","",""
"","265","Create file","LMS service","Sat Mar 28 15:49:23 UTC 2026","passed","Sat Mar 28 15:49:23 UTC 2026","Create entity","Files","",""
"","288","Delete exercise","LMS service","Sat Mar 28 15:49:22 UTC 2026","passed","Sat Mar 28 15:49:22 UTC 2026","Delete entity","Exercises","",""
"","16","Get file","LMS service","Sat Mar 28 15:49:24 UTC 2026","passed","Sat Mar 28 15:49:24 UTC 2026","Get entity","Files","",""
"","289","Update exercise","LMS service","Sat Mar 28 15:49:21 UTC 2026","passed","Sat Mar 28 15:49:21 UTC 2026","Update entity","Exercises","",""
"","13","Get user me","LMS service","Sat Mar 28 15:49:27 UTC 2026","passed","Sat Mar 28 15:49:27 UTC 2026","Get entity","Users","",""
