"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","Get exercise","LMS service","Sun Mar 29 07:40:29 UTC 2026","passed","Sun Mar 29 07:40:29 UTC 2026","Get entity","Exercises","",""
"","17","Get courses","LMS service","Sun Mar 29 07:40:26 UTC 2026","passed","Sun Mar 29 07:40:26 UTC 2026","Get entities","Courses","",""
"","242","Create file with empty filename","LMS service","Sun Mar 29 07:40:31 UTC 2026","passed","Sun Mar 29 07:40:31 UTC 2026","Validate entity","Files","",""
"","23","Create exercise","LMS service","Sun Mar 29 07:40:28 UTC 2026","passed","Sun Mar 29 07:40:28 UTC 2026","Create entity","Exercises","",""
"","276","Create user","LMS service","Sun Mar 29 07:40:33 UTC 2026","passed","Sun Mar 29 07:40:33 UTC 2026","Create entity","Users","",""
"","20","Delete file","LMS service","Sun Mar 29 07:40:33 UTC 2026","passed","Sun Mar 29 07:40:33 UTC 2026","Delete entity","Files","",""
"","272","Get file","LMS service","Sun Mar 29 07:40:31 UTC 2026","passed","Sun Mar 29 07:40:31 UTC 2026","Get entity","Files","",""
"
        Проверяет успешность авторизации пользователя через /api/v1/authentication/login.
        ","266","Login with correct email and password","LMS service","Sun Mar 29 07:40:25 UTC 2026","passed","Sun Mar 29 07:40:25 UTC 2026","Login","Authentication","",""
"","27","Create course","LMS service","Sun Mar 29 07:40:27 UTC 2026","passed","Sun Mar 29 07:40:27 UTC 2026","Create entity","Courses","",""
"","25","Get exercises","LMS service","Sun Mar 29 07:40:30 UTC 2026","passed","Sun Mar 29 07:40:30 UTC 2026","Get entities","Exercises","",""
"","252","Get file with incorrect file id","LMS service","Sun Mar 29 07:40:33 UTC 2026","passed","Sun Mar 29 07:40:33 UTC 2026","Validate entity","Files","",""
"","11","Get user me","LMS service","Sun Mar 29 07:40:34 UTC 2026","passed","Sun Mar 29 07:40:34 UTC 2026","Get entity","Users","",""
"","21","Delete exercise","LMS service","Sun Mar 29 07:40:29 UTC 2026","passed","Sun Mar 29 07:40:29 UTC 2026","Delete entity","Exercises","",""
"","503","Create user","LMS service","Sun Mar 29 07:40:33 UTC 2026","passed","Sun Mar 29 07:40:33 UTC 2026","Create entity","Users","",""
"","291","Update course","LMS service","Sun Mar 29 07:40:25 UTC 2026","passed","Sun Mar 29 07:40:26 UTC 2026","Update entity","Courses","",""
"","20","Update exercise","LMS service","Sun Mar 29 07:40:28 UTC 2026","passed","Sun Mar 29 07:40:28 UTC 2026","Update entity","Exercises","",""
"","30","Create file","LMS service","Sun Mar 29 07:40:30 UTC 2026","passed","Sun Mar 29 07:40:30 UTC 2026","Create entity","Files","",""
"","532","Create user","LMS service","Sun Mar 29 07:40:33 UTC 2026","passed","Sun Mar 29 07:40:34 UTC 2026","Create entity","Users","",""
"","248","Create file with empty directory","LMS service","Sun Mar 29 07:40:32 UTC 2026","passed","Sun Mar 29 07:40:32 UTC 2026","Validate entity","Files","",""
